device,intf,description,ip_addr,shutdown,snmp_location
IVG-ES-T10A-1,Vlan1,User Network,10.167.45.1/24,FALSE,"750 West John Carpenter Freeway, Irving, TX, 75039 () () () (HCB Aetna) ( |)"
IVG-ES-T10A-1,Vlan100,Voice,10.201.45.1/24,FALSE,"750 West John Carpenter Freeway, Irving, TX, 75039 () () () (HCB Aetna) ( |)"
JAX-DS-M4A-FARM-2,Loopback0,For Network Management,10.8.180.129/32,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-DS-M4A-FARM-2,TenGigabitEthernet1/1/1,To Router 1 Interface G0/0/1,10.8.180.38/30,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-DS-M4A-FARM-2,TenGigabitEthernet2/1/1,To Router 2 Interface G0/0/2,10.8.180.46/30,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-DS-M4A-FARM-2,Vlan1,Server Network,10.140.239.1/24,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-DS-M4A-FARM-1,Loopback0,For Network Management,10.8.180.128/32,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-DS-M4A-FARM-1,TenGigabitEthernet1/1/1,To Router 1 Interface G0/0/0,10.8.180.34/30,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-DS-M4A-FARM-1,TenGigabitEthernet2/1/1,To Router 2 Interface G0/0/0,10.8.180.42/30,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-DS-M4A-FARM-1,Vlan1,Server Network,10.130.239.1/24,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
IVG-ES-T11A-1,Loopback0,For Network Management,10.2.103.44/32,FALSE,"750 West John Carpenter Freeway, Irving, TX, 75039 () () () (HCB Aetna) ( |)"
IVG-ES-T11A-1,TenGigabitEthernet1/1/1,Uplink #1,10.13.46.98/30,FALSE,"750 West John Carpenter Freeway, Irving, TX, 75039 () () () (HCB Aetna) ( |)"
IVG-ES-T11A-1,TenGigabitEthernet2/1/1,Uplink #2,10.13.46.102/30,FALSE,"750 West John Carpenter Freeway, Irving, TX, 75039 () () () (HCB Aetna) ( |)"
IVG-ES-T11A-1,Vlan1,User Network,10.167.44.1/24,FALSE,"750 West John Carpenter Freeway, Irving, TX, 75039 () () () (HCB Aetna) ( |)"
IVG-ES-T11A-1,Vlan100,Voice,10.201.44.1/24,FALSE,"750 West John Carpenter Freeway, Irving, TX, 75039 () () () (HCB Aetna) ( |)"
JAX-DS-M4A-WLAN-1,Loopback0,,10.2.80.147/32,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-DS-M4A-WLAN-1,TenGigabitEthernet1/1/1,To BackBone1 port Te1/12,10.8.180.133/31,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-DS-M4A-WLAN-1,TenGigabitEthernet2/1/1,To BackBone2 port Te1/12,10.8.180.135/31,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-DS-M4A-WLAN-1,Vlan1,,10.116.44.1/23,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
IVG-ES-T12A-1,Loopback0,For Network Management,10.2.103.46/32,FALSE,
IVG-ES-T12A-1,TenGigabitEthernet1/1/1,Uplink #1,10.13.46.114/30,FALSE,
IVG-ES-T12A-1,TenGigabitEthernet2/1/1,Uplink #2,10.13.46.118/30,FALSE,
IVG-ES-T12A-1,Vlan1,User Network,10.167.46.1/24,FALSE,
IVG-ES-T12A-1,Vlan100,Voice,10.201.46.1/24,FALSE,
JAX-ES-M4A-1,Loopback0,For Network Management,10.2.102.129/32,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-ES-M4A-1,TenGigabitEthernet1/1/1,Uplink #1,10.13.41.10/30,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-ES-M4A-1,TenGigabitEthernet2/1/1,Uplink #2,10.13.41.14/30,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-ES-M4A-1,Vlan1,User Network,10.166.129.1/24,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-ES-M4A-1,Vlan100,Voice,10.198.129.1/24,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-ES-M4A-2,Loopback0,For Network Management,10.2.102.130/32,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-ES-M4A-2,TenGigabitEthernet1/1/1,Uplink #1,10.13.41.18/30,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-ES-M4A-2,TenGigabitEthernet2/1/1,Uplink #2,10.13.41.22/30,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-ES-M4A-2,Vlan1,User Network,10.166.130.1/24,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-ES-M4A-2,Vlan100,Voice,10.198.130.1/24,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-ES-M4A-BKP-1,Vlan1,Uplink to Farm Stack,10.130.239.100/24,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-ES-M4A-BKP-2,Vlan1,Upink to Farm Stack,10.130.239.101/24,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
KEN-DS-M2A-FARM-2,Loopback0,For Network Management,10.8.94.129/32,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-DS-M2A-FARM-2,Port-channel11,to Farm1,10.8.94.26/30,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-DS-M2A-FARM-2,Port-channel12,to Farm1,10.8.94.30/30,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-DS-M2A-FARM-2,TenGigabitEthernet1/0/1,To Router 1 Interface G0/0/0,10.8.94.14/30,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-DS-M2A-FARM-2,TenGigabitEthernet1/1/1,To Edge Stack: KEN-ES-L2VDC-1,10.13.23.5/30,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-DS-M2A-FARM-2,TenGigabitEthernet1/1/2,To Edge Stack: KEN-ES-L2VDC-2,10.13.23.13/30,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-DS-M2A-FARM-2,TenGigabitEthernet2/0/1,To Router 2 Interface G0/0/0,10.8.94.22/30,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-DS-M2A-FARM-2,Vlan1,Server Network,10.140.228.1/25,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-DS-M2A-FARM-2,Vlan11,Protect Network,10.140.228.129/25,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-DS-M2A-FARM-2,Vlan20,,10.115.250.1/23,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-DS-M2A-FARM-1,Loopback0,For Network Management,10.8.94.128/32,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-DS-M2A-FARM-1,Port-channel11,To Farm2,10.8.94.25/30,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-DS-M2A-FARM-1,Port-channel12,to Farm2,10.8.94.29/30,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-DS-M2A-FARM-1,TenGigabitEthernet1/0/1,To Router 1 Interface G0/0/0,10.8.94.10/30,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-DS-M2A-FARM-1,TenGigabitEthernet1/1/1,To Edge Stack: KEN-ES-L2VDC-1,10.13.23.1/30,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-DS-M2A-FARM-1,TenGigabitEthernet1/1/2,To Edge Stack: KEN-ES-L2VDC-2,10.13.23.9/30,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-DS-M2A-FARM-1,TenGigabitEthernet2/0/1,To Router 2 Interface G0/0/0,10.8.94.18/30,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-DS-M2A-FARM-1,Vlan1,Server Network,10.130.228.1/25,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-DS-M2A-FARM-1,Vlan11,Protect Network,10.130.228.129/25,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
JAX-ES-M4A-3,Loopback0,For Network Management,10.2.102.131/32,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-ES-M4A-3,TenGigabitEthernet1/1/1,Uplink #1,10.13.41.26/30,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-ES-M4A-3,TenGigabitEthernet2/1/1,Uplink #2,10.13.41.30/30,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-ES-M4A-3,Vlan1,User Network,10.166.131.1/24,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
JAX-ES-M4A-3,Vlan100,Voice,10.198.131.1/24,FALSE,"9000 Southside Boulevard, Jacksonville, FL, 32256 () () () (HCB Aetna) ( |)"
KEN-ES-M2A-BKP-1,Vlan1,Upink to Farm-2,10.140.228.100/24,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-ES-M2A-1,Loopback0,For Network Management,10.2.100.64/32,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-ES-M2A-1,TenGigabitEthernet1/1/1,Uplink #1,10.13.23.2/30,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-ES-M2A-1,TenGigabitEthernet2/1/1,Uplink #2,10.13.23.6/30,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-ES-M2A-1,Vlan1,User Network,10.164.64.1/24,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-ES-M2A-1,Vlan100,Voice,10.196.64.1/24,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
LSN-DS-L4VDC-FW-2,Loopback0,For Network Management,10.8.247.129/32,FALSE,"800 South Hope Street, Los Angeles, CA, 90017 () () () (HCB HGS @ USColo) ( |)"
LSN-DS-L4VDC-FW-2,TenGigabitEthernet1/0/1,To Router 1 Interface G0/0/2,10.8.247.14/30,FALSE,"800 South Hope Street, Los Angeles, CA, 90017 () () () (HCB HGS @ USColo) ( |)"
LSN-DS-L4VDC-FW-2,TenGigabitEthernet1/0/2,To Router 2 Interface G0/0/2,10.8.247.22/30,FALSE,"800 South Hope Street, Los Angeles, CA, 90017 () () () (HCB HGS @ USColo) ( |)"
LSN-DS-L4VDC-FW-2,Vlan1,Internal,10.108.200.3/24,FALSE,"800 South Hope Street, Los Angeles, CA, 90017 () () () (HCB HGS @ USColo) ( |)"
LSN-DS-L4VDC-FW-1,Loopback0,For Network Management,10.8.247.128/32,FALSE,"800 South Hope Street, Los Angeles, CA, 90017 () () () (HCB HGS @ USColo) ( |)"
LSN-DS-L4VDC-FW-1,TenGigabitEthernet1/0/1,To Router 1 Interface G0/0/1,10.8.247.10/30,FALSE,"800 South Hope Street, Los Angeles, CA, 90017 () () () (HCB HGS @ USColo) ( |)"
LSN-DS-L4VDC-FW-1,TenGigabitEthernet1/0/2,To Router 2 Interface G0/0/1,10.8.247.18/30,FALSE,"800 South Hope Street, Los Angeles, CA, 90017 () () () (HCB HGS @ USColo) ( |)"
LSN-DS-L4VDC-FW-1,Vlan1,Internal,10.108.200.2/24,FALSE,"800 South Hope Street, Los Angeles, CA, 90017 () () () (HCB HGS @ USColo) ( |)"
KNN-WIFI-DIS-01,Vlan100,,10.194.100.6/22,FALSE,
LAH-ACC-TCA06-02,Vlan195,,10.195.1.79/24,FALSE,
LAH-WIFI-DIS-MDF-01,Vlan195,,10.195.1.78/24,FALSE,
KEN-ES-M2A-2,Loopback0,For Network Management,10.2.100.65/32,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-ES-M2A-2,TenGigabitEthernet1/1/1,Uplink #1,10.13.23.10/30,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-ES-M2A-2,TenGigabitEthernet2/1/1,Uplink #2,10.13.23.14/30,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-ES-M2A-2,Vlan1,User Network,10.164.65.1/24,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
KEN-ES-M2A-2,Vlan100,Voice,10.196.65.1/24,FALSE,"2400 Veterans Memorial Boulevard, Kenner, LA, 70062 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-1,Loopback0,For Network Management,10.8.235.128/32,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-1,Port-channel11,To Farm2,10.8.235.25/30,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-1,Port-channel12,to Farm2,10.8.235.29/30,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-1,TenGigabitEthernet1/0/1,To Router 1 Interface G0/0/0,10.8.235.10/30,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-1,TenGigabitEthernet1/1/1,To Edge Stack: LSV-ES-L1VDC-1 reserved,10.13.45.33/30,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-1,TenGigabitEthernet1/1/2,To Edge Stack: LSV-ES-L1VDC-2,10.13.45.41/30,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-1,TenGigabitEthernet1/1/3,To Edge Stack: LSV-ES-L1VDC-3,10.13.45.49/30,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-1,TenGigabitEthernet2/0/1,To Router 2 Interface G0/0/0,10.8.235.18/30,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-1,TenGigabitEthernet2/1/2,To Edge Stack: LSV-ES-L2-1,10.13.45.57/30,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-1,Vlan1,Server Network,10.130.190.1/25,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-1,Vlan11,Protect Network,10.130.190.129/25,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-ES-M1A-BKP-1,Vlan1,,10.130.190.100/25,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-2,Loopback0,For Network Management,10.8.235.129/32,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-2,Port-channel11,to Farm1,10.8.235.26/30,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-2,Port-channel12,to Farm1,10.8.235.30/30,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-2,TenGigabitEthernet1/0/1,To Router 1 Interface G0/0/0,10.8.235.14/30,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-2,TenGigabitEthernet1/1/1,To Edge Stack: LSV-ES-L1VDC-1 reserved,10.13.45.37/30,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-2,TenGigabitEthernet1/1/2,To Edge Stack: LSV-ES-L1VDC-2,10.13.45.45/30,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-2,TenGigabitEthernet1/1/3,To Edge Stack: LSV-ES-L1VDC-3,10.13.45.53/30,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-2,TenGigabitEthernet2/0/1,To Router 2 Interface G0/0/0,10.8.235.22/30,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-2,TenGigabitEthernet2/1/2,To Edge Stack: LSV-ES-L2-1,10.13.45.61/30,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-2,Vlan1,Server Network,10.140.190.1/25,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-2,Vlan11,Protect Network,10.140.190.129/25,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-DS-M1A-FARM-2,Vlan20,,10.116.0.1/23,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-ES-M1A-1,Loopback0,For Network Management,10.2.103.4/32,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-ES-M1A-1,TenGigabitEthernet1/1/1,Uplink #1,10.13.45.34/30,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-ES-M1A-1,TenGigabitEthernet2/1/1,Uplink #2,10.13.45.38/30,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-ES-M1A-1,Vlan1,User Network,10.167.4.1/24,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
LSV-ES-M1A-1,Vlan100,Voice,10.201.4.1/24,FALSE,"9900 Corporate Campus Drive, Louisville, KY, 40223 () () () (HCB Aetna) ( |)"
MID-BS-L3-EMUX-2,Vlan1,,167.69.44.138/29,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/1,,167.69.202.58/30,TRUE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/2,Downlink to RTT,167.69.10.9/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/3,10G to AT&T CKT: P2P: UVN: ATAMID1DS02-17010101 Support# 800-525-8754,167.69.8.37/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/4,To Mid-DS-L2-DataCenter-5,167.69.62.177/30,TRUE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/5,,167.69.9.53/30,TRUE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/7,LoadBalance-1-NEW,167.69.13.65/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/8,Uplink to WIN-SS-L2-ZLA-1-New Port Ten1/0/47,167.69.8.61/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/9,Wan-Intl-1,167.69.202.42/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/10,Wan-Intl-2,167.69.202.46/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/11,To MID-RR-L2-PBX-1 - Te2/1,167.69.162.57/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/12,to MID-RR-L2-PBX-2 - Te2/1,167.69.162.61/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/13,,167.69.202.1/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/14,,167.69.202.17/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/15,Enclave1,167.69.8.5/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/16,Enclave2,167.69.8.13/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/17,Uplink to Hadoop-1,167.69.202.77/30,TRUE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/18,10G to Level3 CKT: P2P: BCXC3752 (down) Support# 877-866-6515,167.69.10.161/30,TRUE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/19,Resolv-1,167.69.29.133/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/20,MID-SS-L3-WiFi-1,167.69.29.165/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/21,To UserNetwork BONE-1,10.8.144.9/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/22,CagFarm-1 -Shut 3/2/25 Marquis,10.10.12.177/30,TRUE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/23,To MID-SS-OFFICEEXTEND3-1--Te1/1/1,167.69.13.193/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/25,,167.69.11.77/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/27,To FFA-1,167.69.11.85/30,TRUE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/28,To FFA-2,167.69.11.93/30,TRUE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/29,Uplink to FFB-1,167.69.11.101/30,TRUE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/30,,167.69.11.109/30,TRUE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/31,To Surf-1,167.69.29.229/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/32,To Surf-1,167.69.29.233/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/33,Uplink to Mainframe-1,167.69.10.53/30,TRUE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/35,To VPN-Inside-1,167.69.9.77/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/37,To Mid-SS-L2-OpenShift-1,167.69.62.129/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/39,To XPress77K-3,167.69.9.213/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/40,To MID-RR-L3-MAINFRAME-NEW-1 Eth 1/47,167.69.13.113/30,TRUE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/41,,167.69.13.162/30,TRUE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/43,To DataCenter-New-1,167.69.62.1/30,TRUE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/44,To DataCenter-New-3,167.69.62.17/30,TRUE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
MID-BS-L3-XPressNEW-1,Ethernet3/46,To New Nexus7706 Xpress1,167.69.9.101/30,FALSE,"930 Middle Street, Middletown, CT, 06457 () () () (HCB Aetna) ( |)"
